filepath,label
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0005.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0218.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0176.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0388.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0936.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0860.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0671.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0104.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0303.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0905.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0774.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0574.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0433.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0964.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n7\clip_0748.npy,6
C:\STREAMSENSE\data\source_count_splits\clips\n1\clip_0004.npy,0
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0638.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0687.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0818.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0227.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n2\clip_0070.npy,1
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0168.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0880.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n3\clip_0829.npy,2
C:\STREAMSENSE\data\source_count_splits\clips\n4\clip_0874.npy,3
C:\STREAMSENSE\data\source_count_splits\clips\n5\clip_0578.npy,4
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0575.npy,5
C:\STREAMSENSE\data\source_count_splits\clips\n8\clip_0312.npy,7
C:\STREAMSENSE\data\source_count_splits\clips\n6\clip_0381.npy,5
