filepath,speaker_id,class_label
C:\STREAMSENSE\data\raw\yes\2be08ce4_nohash_0.wav,413,0
C:\STREAMSENSE\data\raw\yes\2be08ce4_nohash_1.wav,413,0
C:\STREAMSENSE\data\raw\up\2be08ce4_nohash_0.wav,413,2
C:\STREAMSENSE\data\raw\down\2be08ce4_nohash_0.wav,413,3
C:\STREAMSENSE\data\raw\down\2be08ce4_nohash_1.wav,413,3
C:\STREAMSENSE\data\raw\left\2be08ce4_nohash_0.wav,413,4
C:\STREAMSENSE\data\raw\right\2be08ce4_nohash_0.wav,413,5
C:\STREAMSENSE\data\raw\right\2be08ce4_nohash_1.wav,413,5
C:\STREAMSENSE\data\raw\on\2be08ce4_nohash_0.wav,413,6
C:\STREAMSENSE\data\raw\off\2be08ce4_nohash_0.wav,413,7
C:\STREAMSENSE\data\raw\off\2be08ce4_nohash_1.wav,413,7
C:\STREAMSENSE\data\raw\go\2be08ce4_nohash_0.wav,413,9
C:\STREAMSENSE\data\raw\yes\530306f5_nohash_0.wav,779,0
C:\STREAMSENSE\data\raw\yes\530306f5_nohash_1.wav,779,0
C:\STREAMSENSE\data\raw\yes\530306f5_nohash_2.wav,779,0
C:\STREAMSENSE\data\raw\no\530306f5_nohash_0.wav,779,1
C:\STREAMSENSE\data\raw\left\530306f5_nohash_0.wav,779,4
C:\STREAMSENSE\data\raw\right\530306f5_nohash_0.wav,779,5
C:\STREAMSENSE\data\raw\right\530306f5_nohash_1.wav,779,5
C:\STREAMSENSE\data\raw\off\530306f5_nohash_0.wav,779,7
C:\STREAMSENSE\data\raw\go\530306f5_nohash_0.wav,779,9
C:\STREAMSENSE\data\raw\go\530306f5_nohash_1.wav,779,9
C:\STREAMSENSE\data\raw\yes\29fb33da_nohash_0.wav,399,0
C:\STREAMSENSE\data\raw\yes\29fb33da_nohash_1.wav,399,0
C:\STREAMSENSE\data\raw\yes\29fb33da_nohash_2.wav,399,0
C:\STREAMSENSE\data\raw\yes\29fb33da_nohash_3.wav,399,0
C:\STREAMSENSE\data\raw\yes\29fb33da_nohash_4.wav,399,0
C:\STREAMSENSE\data\raw\no\29fb33da_nohash_0.wav,399,1
C:\STREAMSENSE\data\raw\no\29fb33da_nohash_1.wav,399,1
C:\STREAMSENSE\data\raw\no\29fb33da_nohash_2.wav,399,1
C:\STREAMSENSE\data\raw\no\29fb33da_nohash_3.wav,399,1
C:\STREAMSENSE\data\raw\no\29fb33da_nohash_4.wav,399,1
C:\STREAMSENSE\data\raw\up\29fb33da_nohash_0.wav,399,2
C:\STREAMSENSE\data\raw\up\29fb33da_nohash_1.wav,399,2
C:\STREAMSENSE\data\raw\up\29fb33da_nohash_2.wav,399,2
C:\STREAMSENSE\data\raw\up\29fb33da_nohash_3.wav,399,2
C:\STREAMSENSE\data\raw\down\29fb33da_nohash_0.wav,399,3
C:\STREAMSENSE\data\raw\down\29fb33da_nohash_1.wav,399,3
C:\STREAMSENSE\data\raw\down\29fb33da_nohash_2.wav,399,3
C:\STREAMSENSE\data\raw\left\29fb33da_nohash_0.wav,399,4
C:\STREAMSENSE\data\raw\left\29fb33da_nohash_1.wav,399,4
C:\STREAMSENSE\data\raw\left\29fb33da_nohash_2.wav,399,4
C:\STREAMSENSE\data\raw\left\29fb33da_nohash_3.wav,399,4
C:\STREAMSENSE\data\raw\left\29fb33da_nohash_4.wav,399,4
C:\STREAMSENSE\data\raw\right\29fb33da_nohash_0.wav,399,5
C:\STREAMSENSE\data\raw\right\29fb33da_nohash_1.wav,399,5
C:\STREAMSENSE\data\raw\right\29fb33da_nohash_2.wav,399,5
C:\STREAMSENSE\data\raw\on\29fb33da_nohash_0.wav,399,6
C:\STREAMSENSE\data\raw\on\29fb33da_nohash_1.wav,399,6
C:\STREAMSENSE\data\raw\on\29fb33da_nohash_2.wav,399,6
C:\STREAMSENSE\data\raw\on\29fb33da_nohash_3.wav,399,6
C:\STREAMSENSE\data\raw\on\29fb33da_nohash_4.wav,399,6
C:\STREAMSENSE\data\raw\off\29fb33da_nohash_0.wav,399,7
C:\STREAMSENSE\data\raw\off\29fb33da_nohash_1.wav,399,7
C:\STREAMSENSE\data\raw\off\29fb33da_nohash_2.wav,399,7
C:\STREAMSENSE\data\raw\off\29fb33da_nohash_3.wav,399,7
C:\STREAMSENSE\data\raw\stop\29fb33da_nohash_0.wav,399,8
C:\STREAMSENSE\data\raw\stop\29fb33da_nohash_1.wav,399,8
C:\STREAMSENSE\data\raw\stop\29fb33da_nohash_2.wav,399,8
C:\STREAMSENSE\data\raw\stop\29fb33da_nohash_3.wav,399,8
C:\STREAMSENSE\data\raw\stop\29fb33da_nohash_4.wav,399,8
C:\STREAMSENSE\data\raw\go\29fb33da_nohash_0.wav,399,9
C:\STREAMSENSE\data\raw\go\29fb33da_nohash_1.wav,399,9
C:\STREAMSENSE\data\raw\go\29fb33da_nohash_2.wav,399,9
C:\STREAMSENSE\data\raw\go\29fb33da_nohash_3.wav,399,9
C:\STREAMSENSE\data\raw\go\29fb33da_nohash_4.wav,399,9
C:\STREAMSENSE\data\raw\no\c661be6e_nohash_0.wav,1862,1
C:\STREAMSENSE\data\raw\no\c661be6e_nohash_1.wav,1862,1
C:\STREAMSENSE\data\raw\no\c661be6e_nohash_2.wav,1862,1
C:\STREAMSENSE\data\raw\up\c661be6e_nohash_0.wav,1862,2
C:\STREAMSENSE\data\raw\up\c661be6e_nohash_1.wav,1862,2
C:\STREAMSENSE\data\raw\down\c661be6e_nohash_0.wav,1862,3
C:\STREAMSENSE\data\raw\down\c661be6e_nohash_1.wav,1862,3
C:\STREAMSENSE\data\raw\down\c661be6e_nohash_2.wav,1862,3
C:\STREAMSENSE\data\raw\down\c661be6e_nohash_3.wav,1862,3
C:\STREAMSENSE\data\raw\right\c661be6e_nohash_0.wav,1862,5
C:\STREAMSENSE\data\raw\right\c661be6e_nohash_1.wav,1862,5
C:\STREAMSENSE\data\raw\off\c661be6e_nohash_0.wav,1862,7
C:\STREAMSENSE\data\raw\stop\c661be6e_nohash_0.wav,1862,8
C:\STREAMSENSE\data\raw\stop\c661be6e_nohash_1.wav,1862,8
C:\STREAMSENSE\data\raw\stop\c661be6e_nohash_2.wav,1862,8
C:\STREAMSENSE\data\raw\go\c661be6e_nohash_0.wav,1862,9
C:\STREAMSENSE\data\raw\yes\211ccd2e_nohash_0.wav,312,0
C:\STREAMSENSE\data\raw\up\211ccd2e_nohash_0.wav,312,2
C:\STREAMSENSE\data\raw\down\211ccd2e_nohash_0.wav,312,3
C:\STREAMSENSE\data\raw\left\211ccd2e_nohash_0.wav,312,4
C:\STREAMSENSE\data\raw\on\211ccd2e_nohash_0.wav,312,6
C:\STREAMSENSE\data\raw\off\211ccd2e_nohash_0.wav,312,7
C:\STREAMSENSE\data\raw\yes\8fce59ff_nohash_0.wav,1340,0
C:\STREAMSENSE\data\raw\yes\8fce59ff_nohash_1.wav,1340,0
C:\STREAMSENSE\data\raw\up\8fce59ff_nohash_0.wav,1340,2
C:\STREAMSENSE\data\raw\left\8fce59ff_nohash_0.wav,1340,4
C:\STREAMSENSE\data\raw\off\8fce59ff_nohash_0.wav,1340,7
C:\STREAMSENSE\data\raw\off\8fce59ff_nohash_1.wav,1340,7
C:\STREAMSENSE\data\raw\off\8fce59ff_nohash_2.wav,1340,7
C:\STREAMSENSE\data\raw\stop\8fce59ff_nohash_0.wav,1340,8
C:\STREAMSENSE\data\raw\stop\8fce59ff_nohash_1.wav,1340,8
C:\STREAMSENSE\data\raw\go\8fce59ff_nohash_0.wav,1340,9
C:\STREAMSENSE\data\raw\up\a243fcc2_nohash_0.wav,1507,2
C:\STREAMSENSE\data\raw\up\a243fcc2_nohash_1.wav,1507,2
C:\STREAMSENSE\data\raw\down\a243fcc2_nohash_0.wav,1507,3
C:\STREAMSENSE\data\raw\down\a243fcc2_nohash_1.wav,1507,3
C:\STREAMSENSE\data\raw\left\a243fcc2_nohash_0.wav,1507,4
C:\STREAMSENSE\data\raw\right\a243fcc2_nohash_0.wav,1507,5
C:\STREAMSENSE\data\raw\on\a243fcc2_nohash_0.wav,1507,6
C:\STREAMSENSE\data\raw\go\a243fcc2_nohash_0.wav,1507,9
C:\STREAMSENSE\data\raw\yes\0132a06d_nohash_0.wav,7,0
C:\STREAMSENSE\data\raw\yes\0132a06d_nohash_1.wav,7,0
C:\STREAMSENSE\data\raw\yes\0132a06d_nohash_2.wav,7,0
